,Unnamed: 0,question_text,topics,answer_text,q_token_count,a_token_count,a_text_length,tf_type_zero_shot,tf_score
30,2249,i terminated my counseling relationship with a social worker several years ago i am now realizing that i would like to begin counseling again  the social workers voicemail message says that he returns calls in  hours but he hasnt called me back i called him on the weekend and made it clear that i want him to call me back  can he just ignore me,legal  regulatoryprofessional ethics,yes your former social worker should return your phone callit is the professional ethic to do so and plain human decency to do soif he doesnt there is nothing you can directly do about the fact of his ignoring youthere are formal complaints you can make which you can consider doingwhat matters most is receiving social work servicestick with looking for another social worker who is willing to help youthe selfdoubts you mention may be worth examiningthey do not however excuse the social worker mishandling himself,1,1,516,T,0.9397011995315552
32,1641,in this argument my friends are all against me so im wondering if im exaggerating my feelings i feel like im being attacked and that is making me blow things out of proportion and taking the role of the victim when in reality im the one being unreasonable and i am simply annoying my reasonable friends or are they really being insensitive and not respecting me in our friendship,socialrelationships,conflict is a tricky beast and shows up in every one of our relationships what im reading is that you find yourself in a loop of  seeking validation of your thoughts and feelings from your friends rather than validating yourself am i right if you arent validating yourself no one else will be able to either  try finding a small nugget of truth in the feedback your friends give you this will help to lower your defenses and help your friends hear what you are really sharing  and then if you are still feeling vulnerable share that too,1,1,536,T,0.5452556610107422
34,2557,weve been in a long distance relationship for two and a half years i recently saw his phone and saw the people he texts the most and one of them was a  female coworker i dont know how to approach this situation how do i ask him about it,relationships,if youd like to ask a question then go ahead and askboyfriendgirlfriend is a close relationship and it is usually understood as an exclusive relationship  youre definitely entitled to know if your wishes to not have him texting another woman are being respectedoften people are afraid to ask because they fear the truth will hurt themin the short term this is definitely truein the long term knowing you are getting what you want and at the very least stating your expectations to your boyfriend will clarify for him what is meaningful in your relationship,1,1,556,T,0.8647158741950989
35,1153,i have no idea what happened i go places and do things but still feel lonely i honestly have no friends and i am always the one texting people and bothering people i feel invisible like someone that no one wants to be around,intimacy,a lot of times any and each of us creates what we need for ourselves by seeing other people as creating these circumstances and situationsis it possible that at this time period in your life being alone is positive for sorting through your true values or sorting through key situations in your lifeif yes then possibly you are giving yourself some alone time even though to some degree being alone is not your first choiceat the very least since you arent happy with being the one who texts others then some alone time may encourage new thoughts and ideas creating more open space within you to attract other people who do enjoy texting you firstalso most relationships are not forever  is it possible you are at a phase when some relationships are simply closing down so that you have clear space within your life for new and different activity,1,1,845,T,0.6355176568031311
39,1307,"im having issues with my relative the police never believe the experiences i have been through because i am only a kid 
   ive even had trouble trying to reach a therapist because i said i wanted to get an adult to help me could you please give me advice",familyconflict,i think it would be wise for you to call a hotline especially designed for children its called the childhelp national child abuse hotline the number is achild  it is completely anonymous and a trained therapist will be able to provide you with guidance confidentiality and can also help you make a report of you wantthe call is completely free and they are open  hours a day   days a week im glad that you are taking steps to improve your situation you are a very brave and an intelligent child please remember to call  if you are in immediate danger,1,1,550,T,0.7531788349151611
40,1649,i need to get on base to see my doctor my id card was in my wallet which was stolen im unable to reach my husband at this time he is only one who can take me on base in order to get a new id so i can continue to see doctor is there anything i can do,militaryissues,you should be able to get a replacement id card either from the personnel office on your local base the actual name of this office will vary depending on which branch of the military it is you may also be required to go to the military police or security office on base to report the loss of your old id card,1,1,308,T,0.7955817580223083
42,1230,im a teenage gay girl and im in love with a girl a few years older than me she loves me too but were not physically together at the moment ive been thinking about being transgender soon too but my family doesnt accept me so i honestly dont know what to do about that because i feel like i have to constantly hide the real me it hurts so much to hide the real me what can i do,familyconflict,many people do not accept the reality of gender beyond male and femaleobviously if your family doesnt accept your questioning status then this feels painfulall you really can do is continue your selfexamination and know youre in a nonsupportive family of doing soto know the truth about your surroundings is much better than to not know and also much better than pretending you are not in your current phase of gender expression questioning,1,1,440,T,0.8895251750946045
47,1299,hello i have a cousin in my family who has been making me feel belittled insecure and frustrated during her stay here in the city i know she comes from a place of love but she has always been shortfused and highly temperamental if something doesnt work out the way she planned it i have tried my best to coordinate plans with her but she always ends up frustrated about the lack of communication i seem to have on my part and then makes condescending comments about my character that include inconsiderate negative oblivious and self consumed    i have tried to talk to her openly about this but it always comes back as an attack on my character and i have never heard these comments from anyone else before i have been thinking a lot about her comments and whether i truly am an inconsiderate person who is not thoughtful spatially aware of surroundingspeople or positive but in the end i am feeling awfully hurt about how this has affected our relationship    what can i do,familyconflict,do you have a close friend or relative whos opinion you trust ask them for their honest feedback and if they see you like your cousin does if they dont see these qualities in you then it may be your cousins issue and shes taking it out on you you can always ask her what would be the best way to communicate plans with her so you know specifically what she is expecting then if you meet these expectations and she still blames you and comments on how inconsiderate you are its her issue and she is not coming from a place of loveeven if you do resemble her comments the way it sounds like she approaches this problem is not out of love the fact that youre introspective enough to consider your own behavior suggests the problem is not with you,1,1,743,T,0.8618789315223694
48,1630,these jokes are made about everything they seem to have the need to say something funny about everything its not funny just awkward,socialrelationships,i agree it is awkward when people make jokes about subjects which may not be funny at all  and if a person only jokes then after laughing and realizing the person has nothing of themselves to offer this can also be quite tediousrealize that you are more aware of human interaction having many levels of expression  you could start avoiding people who irritate you by the way they behave,1,1,386,T,0.8632262945175171
51,2506,"ive been with my partner for  years shes given me no reason not to trust her but lately ive been overreacting a lot when shes just doing normal things i think its triggering my bad past relationships

how can i get rid of these insecurities and be more trusting with her",relationships,two paths are possibleyoure not overreacting and instead are genuinely sensing that something feels unsettled within your girlfriendyou are overreacting because you have difficulty accepting how safe and loving your relationship is with this personthe only way to find out is to start conversations with your girlfriend on how you feelthis will allow new light to open an answer as to the truthonce you know what truly is going on between the two of you your selftrust naturally will grow stronger selftrust will give you an accurate read of what and whom you are able to safely trust,1,1,584,T,0.5333850979804993
55,1634,i was mentored by this guy for a few years spiritually it was okay at times but other times it was just weird i try not to think about it too much but a lot of manipulation and lying happened yet no one else really believed me when i told them its like hes two different people and no one else really sees that side of him i was blamed for a lot of our troubles and now we dont really talk much im worried because hes in a trusted position of leadership and no one suspects anything they just think im attacking his character how do i know for sure,socialrelationships,you may intuitively be sensing what many professionals in the social sciences and psychology have already understoodjust google psychopaths and leadership and many articles come up about boardroom politics and that psychopaths are very successful in these rolestheoretically is it terrible that corporate leadership qualities match those of psychopaths  well yes  and i consider your question as a mark of your sensitive awareness toward other people  being able to recognize social dynamics is a strength that you havepsychopaths know how to be charming and to twist words so that others believe that their own interest is the same as the psychopathsi agree with you about not being able to change peoples minds who are attached to this persons interactionsthe only way you can introduce a change in the relationship system of a psychopath is that if you are aware of illegal or law breaking activity and you have evidence of this that you contact relevant authoritiesno one is allowed to break laws including psychopaths,1,1,1022,T,0.517630398273468
57,522,i have not had a friend since i was  i dont go anywhere and i have no job all because im afraid of people,anxiety,individual andor group therapy can be a powerful antidote for social anxiety often in therapy the things that tend to get in the way of our securing satisfying and lasting personal relationships will appear in some way in the therapy relationship and a competent therapist will be able to help you work through this anxiety in a sensitive way and eventually encourage you to seek out the personal relationships that you want in group therapy you have an opportunity to have a relationship not only with the therapist but several other people who are all in the group in order to give and receive mutual support to one another,1,1,625,T,0.6407491564750671
58,1287,im in my midtwenties now and my boyfriend of seven years and i want to start a life my mother is  codependent on me and is extremely manipulative she suffers from type  diabetes which she uses to guilt me if i ever leave her the problem is that i will feel guilty,familyconflict,focus more on your own life and less on the very heavy descriptors you wrote to describe your momall the words you wrote represent psychological conditions which are either lifelong or take a lot of motivation and effort to changesince the only person who can change how your mom handles her life is your mom and you are the only one who can do the same for yourself devote more energy and time to living your own life fully despite the emotions you feel regarding her,1,1,468,T,0.51473069190979
60,1405,i have had a crush on this guy for years i last talked to him a few years ago when we graduated from high school we left off on a good note should i message him and see how he is doing or is it too late,relationships,youll only find out whether or not it is too late by following through with wanting to message himregardless of whether the response you receive is what youd hoped to hear including not hearing back from him you will have done yourself a great honor and respect by following through on a wish and curiosity youve had for some time,1,1,330,T,0.839169442653656
62,221,i am pretty sure i have depression and anxiety i also have voices in my head i have problems sleeping too ive already been diagnosed with attentiondeficit disorder and obsessivecompulsive disorder i have selfharmed in the last and used to be suicidal how do i tell them this and ask for therapy,depression,what stops you now from telling your parents the way you are feelingdo you imagine asking them for therapy would be a surprise for themif theyre paying attention to you at all then i imagine theyd feel relief to know youre aware of having some feelings within yourself of a problemif you believe theyd have a negative reaction to you asking for help this may very well be part of why you are having problems in the first placewhat reaction did your parents have when you were diagnosed with the other conditionsid separate their willingness to help you from your sense of needing helpif they do not want to help with finding a therapist for you then start by looking for services available for people in your age group whose parents also do not wish to be involved in their childs emotional and psychological health,1,1,815,T,0.7883018255233765
63,1579,this is my recovery and i dont feel that it is okay for them to ask this they told me it is policy due to the fact that i may run into a peer there i am a peer counselor in the small community that i grew up in i am in recovery myself i was asked to come work for this organization after i was two years sober i was in treatment in this organization i work with mental health peers and run life skill groups i dont work with substance peers,addiction,you definitely want to make sure not to inadvertently create an inappropriate dual relationship with a client in fact it is not uncommon for state regulatory boards to determine that a clinician and client being in the same  step group is professional misconduct you might want to consider attending a  step meeting that is located in a different community than the one you work in  another option would be to look for oneonone or small group recovery support,1,1,459,T,0.6636214852333069
64,1432,"my girlfriend recently started hanging out a lot more with one of her friends who did her wrong in the past and just walked out on her so for the past  years its been just me and my girlfriend things have been great up until the last month now she ignores me and texts and hangs oit with her friend more and more
   i dont know what to do anymore my girlfriend is so distant how do i keep from losing her",relationships,well if you each want to be with the other than no one will be losthave you told her about feeling slighted  start telling her about your feelings  how she responds to you will tell you a lot about where her heart is and maybe too some of the reasons she has been so involved w the friendwho knows maybe the friend has problems of her own and your gf is spending extra time w the friend to help the friend and doesnt even know you feel hurtyou would do yourself and your gf a lot of good to tell more about your feelings  either you will get more closeness and consideration or not  at least you will have the truth,1,1,615,T,0.7735522389411926
66,835,ive been suppressing it for quite some time but there are days when i cant make eye contact with her i think she knows and we both admitted there was some type of vibe but the overall discussion was vague i think she could possibly be dating someone that works with us its driving me crazy as an act of expression i have purchased a gift for her thats personalized i havent given it to her yet,workplacerelationships,there are many possible ways dating your boss could go awry and jeopardize your occupational wellbeing so my recommendation is to hold off on presenting your boss with a personalized gift and instead focus on building attraction and romantic interest with someone who is not at the workplace  sometimes the element of power and unavailability can heighten our sexual interest but that doesnt mean its a healthy idea to pursue someone who is in a position of power over you at your workplace,1,1,490,T,0.6911494731903076
67,1349,weve been in a long distance relationship for two and a half years i recently saw his phone and saw the people he texts the most and one of them was a female coworker i dont know how to approach this situation how do i ask him about it,relationships,if youd like to ask a question then go ahead and askboyfriendgirlfriend is a close relationship and it is usually understood as an exclusive relationship  youre definitely entitled to know if your wishes to not have him texting another woman are being respectedoften people are afraid to ask because they fear the truth will hurt themin the short term this is definitely truein the long term knowing you are getting what you want and at the very least stating your expectations to your boyfriend will clarify for him what is meaningful in your relationship,1,1,556,T,0.8647158741950989
69,1291,my parents seem okay with other sexualities but normally they only talk about being gay when they do talk about bisexuality they say things like theyll do anything or things that make me very uncomfortable because i am bisexual i dont know if i am ready to come out to them,familyconflict,coming out to family members can cause a lot of anxiety however  although i cannot promise what their reaction will be the benefit is that you will no longer have to hide who you are perhaps researching or getting information on bisexuality can help your family understand what it truly is to be bisexual many times  people are just not educated on certain things,1,1,363,T,0.6159024238586426
72,388,"i recently broke up with my boyfriend after being together for over  years i truly believe i did the right thing but omehow being single now has made me very needy and unsure of myself
    i am seeing someone casually and i am losing my mind with anxiety about how he feels about me and this need for validation
   how can i learn to be content and at peace with myself regardless of my career relationship status etc",anxiety,possibly you havent completed your phase of mourning the recently passed relationship and lifestyle which surrounded itrelationship breakups mean a persons entire life goes through an adjustment since the relationship impacted all areas of your lifegive yourself some patience to restore yourself from the old relationship when you feel whole again then more than likely you will lose some of the anxiety wondering what your new casual partner feels about youand instead of wondering  you may simply decide to ask the person your question,1,1,538,T,0.8119738101959229
74,277,i think i may suffer from depression and it is affecting my life and sleep i am on my parents insurance and they wont let me see a therapist because they dont believe in it,depression,the answer here really depends upon your age and something called the age of consent in the state where you live in pennsylvania anyone over the age of  can provide consent for their own treatment as for billing purposes try talking to some local agencies if you are under  you may be able to have medicaid out of medical necessity so that you can have treatment if you are over  there may be some discounted rates at some agencies because of the situation youre in maybe your primary care physician will be able to refer you to some local agenciesif you are in school you may be able to talk with a guidance counselor or someone at the school this would not require using your insurance,1,1,687,T,0.5358298420906067
79,2702,"my son was diagnosed with autism a few years ago and i stopped working so that i could take care of him  i also was dealing with an abusive relationship mentally physically and emotionally now i live like a recluse and i always feel nervous around people

how can i feel more comfortable around other people",parentingrelationshipsanxiety,probably a good portion of living like a recluse was necessary so you had time to rest and recuperate from so much major adjustment in your lifehave you told some of the people in your life about the many changes youve been through   it is possible people sense something different about you and arent sure whether to ask or not ask questionsalso understand what type of qualities youd like to offer and receive in a friendship   given that raising a kid who has autism takes a lot of energy and time the way you socialize will changestart with one person whom youre pretty sure would welcome you and whom you would gain by bringing them into your lifeas a result of how this interaction goes how you decide to spend your time together what youll discuss you will know more about yourself and what you require to feel good around other peoplethen you can consider if youre ready to add others into your world,1,1,908,T,0.7392821907997131
81,1427,i really like this guy and i think he likes me back but his sister is my bestfriend im afraid that if i tell her i have a crush on her brother she would loose it i once told her i thought her brother was cute and she got really angry ive gotten to know her brother better lately and ive realized he may actually feel the same way i dont want to lose her friendship what do i do,relationships,do you and the brother to whom you feel attracted ever see each other or are in surroundings in which the sisteryour friend isntif yes then this gives you the chance to find out whether you and the brother actually do like each otherif no then definitely have a private and direct conversation with your friend about the fact youre attracted to the brotherfind out the reason your friend becomes angry to hear you like the brotheranything is possible from shed like to warn you about qualities in her brother which you may not know and if you did wouldnt like or react negativelyor if protection isnt your friends reason then maybe shes fearful to lose your friendship if you start a relationship with the brotherfriends are people who care about each others lives  let your friendship with this girl work on behalf of each of you,1,1,830,T,0.6960116028785706
89,645,when my son was a teenager we sent him to live with his dad because of the constant disrespectful attitude a week after he graduated his dad made him leave because of the same issues all four parents tried to talk to him and he just refuses help all around he is now living with his grandparents he had a job and took steps to get his license and an insured vehicle i thought he was heading down the right road and then he tells me he quit his job because he didnt like it i just dont know what to do,parenting,probably the best way to be supportive of your son is to tell him what bothers you about the way hes handling himselfif youd like him to work with your suggestions then before you make critical comments be sure to validate his strong points and to recognize his natural talentspeople are much more likely to take advice if the person feels the criticism is spoken by someone who respects them and isnt only critical of themoffer your availability to talk with him if you genuinely feel available to speak with him in a nonjudgmental way,1,1,536,T,0.6597006916999817
93,1104,ive been in a relationship for almost a year and i absolutely trust my boyfriend he treats me nice checks on me and tells me sweet things however when it comes to making life decisions i feel he is very immature i try to talk things out so we can compromise or make sound decisions together but he lacks any ideas and prefers to just go with anything to avoid fighting as far as dates if i dont say anything plan it or have money to chip in we will not go i feel like i put in a lot of work supporting and sometimes spoiling and all i get is a loyal man who will not cheat and say sweet things on occasion,intimacy,well then your decision is whether you want to stay in this type of relationship or notone point to keep in mind is thisjust because hes not telling you his opinions doesnt mean he doesnt have any opinionsin the long run t is always easier to talk with someone about their differences from our point of view than to be someone who doesnt tell you what is in their mindshort term it seems easy to have someone agreeablelong term someone who doesnt tell you their thoughts and who disagrees with you may potentially go about their true wishes in hidden ways,1,1,555,T,0.8159427046775818
97,2666,"i have a friend that who i used to be in a relationship with it was brief and turned into us being just good friends

i spent the weekend with him and  it upset my boyfriend was i wrong",relationshipssocial relationships,thank you for submitting this question i think this type of situation can be common for many couples struggling with how to keep friendships with past relationships while being in a new relationship for me more information is needed herebut given the information provided the way i interpret the question isim assuming your boyfriend didnt know you were going to spend the weekend with your good friend  working off of this assumption i would suggest beginning an open and honest dialogue with your boyfriend about what specifically upset him and to talk about your point of view regarding spending the weekend with him i would also suggest talking about how you both envision your relationship when it comes to spending time with others if you feel like you cant have this conversation without it going off track please consider seeing a couples therapist they can help you begin these important conversations that can help shape and develop the relationship you and your boyfriend long for,1,1,991,T,0.6165573000907898
98,1571,i just need to know if im really crazy or not,behavioralchange,do an internet research on psychosis symptoms and see if you have several of the symptoms  if you do seek a medical evaluation from your primary care physician  there are great medications and psychotherapy that can help you live your life to the fullest  there a many people who are diagnosed with psychosis and living a productive life,1,1,337,T,0.5462455153465271
102,1498,i am a heterosexual male in my late s i find myself wearing pantyhose heels skirts and other womens clothing in private i am torn on how to feel about it i enjoy it very much i have had a pantyhosestocking fascination and other kinky fetish interests since i was young i have no history of sexual abuse growing up i am currently single,lgbtq,let yourself enjoy crossdressingwhat sounds in your way are whatever beliefs you gre up hearing see and absorb currentlyconcentrate on your own satisfaction and that you are doing this in a nonharming waymaybe if you branch out your interest by finding other people who enjoy crossdressing as much as you dowith any interest or activity social interaction supports it,1,1,367,T,0.610506534576416
110,1081,my husband had an emotional affair with his exwife in november she invited him to dinner alone with their daughter i wasnt aware of this until after pm when i asked where he was he had been drinking and i told him not to come home that night the next morning we talked about going to counseling he went out that night with friends and said his exwife wasnt going i found out in april that she did go i gave him the chance to get everything out in the open i found out that he stayed that second night with her i asked if they slept in the same bed and he said yes both nights his daughter wasnt there the second night he claims they didnt have sex but what else should i think,intimacy,i agree with you that professional counseling is a wise choice for your relationshipyour husband may not know want to know or want to discuss with you what his true feelings are toward you and the exthe topic is very heated which is why discussing these matters alone may do more harm than goodusually people start deeply complex emotional matters discussion and get so upset the conversation goes off track and unintended hurts happenin a therapist office the two of you will be guided on talking about these critical areas and this will be much more productive than trying to do so only with the two of you,1,1,608,T,0.5200672745704651
116,239,i have a severe back problem ive had  major and several minor operations but im still in constant pain how can i deal with the depression from this chronic pain,depression,chronic pain at the back likely results from a few areasll kidney zone most likely lower backbone spurs fused discs and slipped discs caused by connective tissue weakness and calcium deposits used to neutralize highly acidic areasthe depression will evaporate when the chronic pain is drained out through natural meanspharmaceutical means will simply extend the pain and cause it to deepen over time not solving the problemremember medical doctors suppress natural doctors cure,1,1,477,T,0.8128842115402222
122,1096,my husband cheated while i was pregnant with our son with a socalled friend this was before we were married we split and eventually worked things out i thought i trusted him so we got married now he flirts with girls in front of me ive talked to him but nothing helps,intimacy,this sounds very painful for youare you able to tell him how his flirting affects youmaybe he doesnt care enough to change and maybe he doeslong term if he continues this then usually people feel they have two choices put up with it which of course greatly reduces the sense of satisfaction in the relationship   or of course you can decide to end the relationship  this choice is quite significant now that you have a child together  give yourself plenty of time to think over the best outcome,1,1,494,T,0.6820029616355896
124,2771,"my daughter seemed to be developing at a normal rate until about the age of  she then started to act younger than she is 

now she only wants to play with younger kids and she doesnt act her age i dont know why this is happening is this normal",parentingchildren  adolescents,this is certainly an important issue to look into it is always helpful to speak with the childs pediatrician since they are most familiar with the childs developmental history also children tend to regress behaviorally when facing events and interactions they feel to have no control over this can be as simple as a loss of a pet a recent move death in the family  andor as serious as sexual abuse and other things if you have not spoken to the school that can be a good starting point,1,1,485,T,0.6818441152572632
125,682,my toddler is having a real hard time with toilet training he almost throws up every time he sees his poop he gags and will not go on the toilet we have tried a toilet chair and ring that goes on the bigboy toilet but he refuses to use it when he sits on the toilet he just sits there forever and only will pee he holds the poop in until he get up and then will poop in his diaper i dump his diaper in the toilet and let him know that it is where it goes to try to encourage him how can i help him get over this fear and passed the stress,parenting,your son is showing signs that hes just not ready to be toilet trained you dont say how old he is so im not sure whether the problem is deeper but right his fears may reflect that right now he is simply be not ready to take that step pushing him at this point could worsen the problem so i suggest pulling back the expectations waiting a month or two looking for more signs of readiness and trying again in general teaching children to use the toilet works best when mistakes are handled calmly and when parents pay close attention to cues that the child is responding positively,1,1,579,T,0.6417322158813477
126,1213,my new daughterinlaw just informed me that she is smoking marijuana while pregnant because of her morning sickness im in shock and i dont know how to respond i just lost my mom and she was good with advice,substanceabuse,have you reached your own conclusions and reasons for these regarding the topic   when you feel confident in your own reasons for your conclusions then obviously ask your daughter in law for some time together and tell her what you think and your reasons for opinionsplan for this meeting according to the type of relationship you have with your daughter in lawsince your son will also be affected by the prenatal conditions of his child he may also be interested in being part of this conversationalso during your discussion find out the exact ways the morning sickness affects your daughter in lawit is possible that scheduling adjustments in routines can be made so your daughter has more time to rest or fewer responsibilities for a while until she feels bettermaybe you and other family members can lighten her daily routines so she has more time for herself to manage her morning sickness in a less risky waysending good luck,1,1,931,T,0.7824258804321289
127,210,im in my early s ive worked since two months after i turned  i have plans i could become an electrician or i could operate heavy machinery i have goals but i do nothing to try to meet them because i dont feel i can i just want a better life for my fiancée and the kids than i did,depression,if youre not following the goals you gave yourself there are two possibilitiesyou dont really like your goalsyou selfsabotage and prevent yourself from your own strengths and accomplishmentsthink through each of theseif youve set goals which arent true to your nature then intuitively some part of you will reject themif you selfsabotage get in your own way from achieving what you truly would like then ask questions of yourself around whether you feel undeserving of success,1,1,476,T,0.9076035618782043
128,207,i dont know if i have depression but i have been very sad there are nights that i dont sleep i dont eat all day sometimes i dont have energy to anything anymore,depression,these symptoms are all classic to the diagnosis of depressiona diagnosis itself doesnt help anyone get better  often people say the word depression as though it means something terrible   the diagnosis of depression can be depressingforget matching symptoms with a diagnosismore important to improvement is to know the reason for your sadness  when people become sad there is a reason for it and knowing this reason is the first step to changing the situation which creates the sadness in youthink of depression as a way to slow down and examine aspects of your life and relationships  if you continue at the same pace of living and didnt stop and examine your life then you may not notice what needs changing,1,1,709,T,0.6191550493240356
