,Unnamed: 0,question_text,topics,answer_text,q_token_count,a_token_count,a_text_length,tf_type_zero_shot,tf_score
16,1109,my wife and i got separated because i asked about her contact with a male friend of hers the next day she kicked me out she let me move back two days later yesterday she said she wanted a divorce then quickly changed her mind i asked if the other guy was a factor but she says its not my business,intimacy,when threats of leaving such as what you described in your question kicking you out wanting divorce are continuous in your marriage it can start to erode at the foundation of your relationship impacting both partners and if youre concerned about the influence of another male in the relationship and are unable to express your concerns or fears to your wife its extremely difficult to build a secure functioning relationship from the information provided in your question it seems as if there is some avoidance evident in your relationship avoidance of being able to express yourself and have honest communication about your relationship if your wife is willing i would recommend seeing a marriage counselor to help you both during this time or for you to talk with an individual therapist if marriage counseling isnt an option,1,1,827,F,0.6970129609107971
19,1338,my husband and i have been together since high school we have been married going on for nearly ten years and we have three beautiful children a few weeks ago my husband decided he need some time apart and moved over to his dads for a while he comes home to see the kids and acts like there is not too much wrong can this marriage be saved or is it too late he said he would go to counseling so i dont think he has given up,marriage,while it would be impossible for me to say whether your marriage can be saved it sounds like you are both willing to give it a try and to get professional support with appropriate professional support for your relationship a lot is possible im not familiar with the resources available in jackson but im sure there are some good local couple therapists and there may be some agencies that specialize in couple counselling and family therapy so often the challenges that we have in relationships result from rather small habits in relating that lead to greater feelings of distress loneliness anger and resentment i commend your willingness to put effort into creating the strong loving relationship that you want for both of your sakes and of course for your children the following links provides more information regarding common behaviours that predict staying together or separating and also videos and other resources that can help you get started wishing you and your family all the best on your journey of healing and discovery,1,1,1033,F,0.9360647201538086
21,970,when i think of things people put me through in the past i get upset all over again and take it out on everyone ill be mad for nothing at all and have a attitude with everyone for no reason,angermanagement,it sounds like you have had difficulty in processing what happened to you in the past and because of that difficulty in moving past what happened to you when you are reminded of what happened you get angry all over again please know that it is possible to remember what happened but to also not have the same emotional response it is very common to have difficulty processing a traumatic situation that occurred in the past many people go through this a good therapy designed to assist with this type of issue is emdr try to find a therapist who is trained in emdr to help you with processing these memories so that you dont have the same emotional response every time you think about what happened best of luck to you,1,1,718,F,0.974241018295288
22,847,my fiancé and i come from a strong christian background but both went off the straight and narrow once before he is having a hard time accepting my past especially that im not a virgin he has a hard time in general accepting himself and others    his insecurities are hurting our relationship how can i help him let go of my past and decide to live in the present,spirituality,seek deliverance from parts of your past youre struggling to let go ask the holy spirit or higher power to help you mentally take those past experiences and lay them in trust at the foot of the cross for jesus to handle acknowledge that holding onto the past is sin because it keeps you from obeying gods call to move on as you will see in the two verses i will list below jesus and the apostle paul are telling us that we have to learn how to let go of our past jesus says that anyone who is trying to move forward in his walk and call for god  but keeps looking back  is not fit for the kingdom of god  but loves you and you are a child of the most high and it is time to cleanse and strip away this resentment  there are energy medicine and eft exercises that i could show you  i will send him some positive vibes ,1,1,817,F,0.8444638252258301
25,830,i am conflicted with this guy i work with he is a coworker and close friend whom ive had a crush on since meeting him four years ago we made out once after years of flirting i was hoping for more but nothing happened i distanced myself a lot after,workplacerelationships,hello emotions run high in crush situations and when emotions run high its not uncommon for us to have emotionbased instead of factbased thoughts after reading your question i wondered how you went from making out to nothing happened i wondered if this happened because of an emotionbased thought that sounded like if he liked me he would make something happen a truer and more empowering thought might be i want something different to happen with him and i want to take a different action to see if that can happen this thought focuses more on the one thing you can control you  hopefully the thought also empowers you to think through what you can do to gauge interesttalk with him about his feelings on the matter i hope this helps and good luck to you,1,1,755,F,0.9970942139625548
26,190,i suffer from adult adhd anxiety disorder and depression it has been difficult to find a doctor in my area and my primary physician wont help i am unemployed and overwhelmed what would you suggest i do,depression,telehealth has become very popular during the pandemic one of the benefits of telehealth is that you can see a therapist who may not be in your area at all although depending on where you reside they likely just need to be licensed in the state where you reside telehealth offers access to a much larger pool of mental health providers some therapists offer sliding scale fees a reduced fee for those who are unable to pay full rate,1,1,432,F,0.5594910383224487
27,205,in the last ten months ive been kicked out moved around three times worked many jobs stopped school to make money had dad and mom get sick was cheated on while pregnant lost my baby had relationship issues and was betrayed i cant get a job i have no friends i feel lonely and isolated ive been dealing with all this by myself,depression,good for you to realize your strength to identify this long list of difficulties and recognize the difference between these pressured events and who you truly areselfcare is the overall way to stabilize from so much upheaval and stress whatever is your favorite way to rest and relax would be a beneficial way to regain your emotional and physical strengthusually upsetting incidents are necessary so we place ourselves on a new track in life  they are not meant to harm you so much as to nudge you to invest your life with different activities and people,1,1,555,F,0.6950175166130066
28,228,i have terrible anxiety and depression ive tried various therapists and pills but nothings helped,depression,is it possible you simply didnt mix well with the particular therapists with whom youve worked   if this is possible interview a therapist before  starting therapy   then you will be choosing a therapist who feels compatible with your way of seeing yourself and your lifealso therapy isnt for everyoneread about the different healing modalities and see if one of these speaks to your interest in feeling betterwhat matters most is finding among all the legitimate healing methods what you believe will be effective,1,1,514,F,0.7705700993537903
29,2244,"i feel like i was born in the wrong body i feel like i should be a girl not a boy
ever since i was young i have wanted to be a girl i felt like what i was wasnt me i want to know what i can do about it my family is against transgender people and dont want anything to do with them i want to be me i feel as if ill be happy then i dont look in mirrors and i dont like my reflection recently i have been taking things to help even though they were not prescribed i know i should have this handled by a professional",selfesteemlgbtq,hi do you have any opportunity to work with a therapist  it sounds like it might be really great to explore these feelings if you arent able to there are many awesome gender work books available that you could use to explore your thoughts and feelings also  google ask a gender therapist  so many amazing video blogs to answer many questions  good luck,1,1,352,F,0.920236349105835
31,979,everything just makes me upset,angermanagement,anger often comes with a lot of other emotions consider what else you may be feeling at the same time and keep track of your different mood changes you may be able to notice patterns such as being more frustrated when you dont sleep well if you do feel as though you are mad all the time can you think of any exceptions so you can see what is different in those times,1,1,367,F,0.6545894742012024
33,2246,i am currently suffering from erectile dysfunction and have tried viagra cialis etc  nothing seemed to work  my girlfriend of  years is very sexually frustrated  i told her that it is okay for her to have sex with other men  is that really okay,human sexualityrelationships,hello and thank you for your question i completely agree with dr zehner many couples are in opentype or polyamorous relationships where one or both partners engage in sexual relationships with others the key thing about this is that it really does have to be something that both people are okay with now as dr zehner indicated what may be okay today may not feel okay tomorrow so good communication is essential the truth is even in polyamorous relationships where partners are in agreement jealousy does sometimes happen here is a good article about polyamorous relationships and the issue of jealousy httpeverydayfeminismcompolyamorousdealingjealousythis site has many other articles about polyamory if you type in polyamory in their search box you will find some good information i wish you wellrobin j landwehr dbh lpc ncc,1,1,826,F,0.7087289094924927
36,1968,"im a senior high school student im also five months pregnant i got pregnant by my boyfriend of three years my parents dont want us to communicate with each other he cant even come to visit my gynecologist my mom goes to attend all of my doctors appointments shes supportive of me i wish though that my boyfriend was next to me and be able to see his daughter on a sonogram at the very least my family does not understand that he deserves that much i cry all the time because i feel lost and hopeless
i need guidance and i believe that you can give it to me  am i wrong for wanting him around are they right for keeping him away from the appointments and not letting us communicate with each other even though we are the parents i do everything that they ask of me i just want him to be around when i ask my parents to let him be here they call me a selfish person please help me",relationshipsparentingfamily conflict,youre not wrong for wanting to be with your boyfriend of three years who is also the biological father of your childdo your parents object to you and your boyfriend continuing to see each other in person  or do they object only to electronic communication and dont want him involved in his childs life ask your parents what their reason is for forbidding you to communicate with your boyfriend  ask them also to understand your point of viewnow is also a good time for you and your boyfriend to plan whether and where you will live as a family and how to financially and emotionally support one another once your baby is bornyour mom and dad are definitely making fatherhood difficult for your boyfriend and motherhood stressful for youconsider bringing up the topic during your next obgyn visit  your doctor may ask your mom to explain her reasons and address theselook online for womens resources to see if there are clinics or agencies that would help you advocate for your position in this mattergood luck with the remainder of your pregnancy labor and delivery,1,1,1065,F,0.8499003052711487
37,273,im not the same anymore i dont know how to get back to who i am im sad and confused and angry and tired i dont sleep well,depression,being tired can really affect almost everyones ability to work through things that make them sad confused or angry among other emotions if youre having difficulty sleeping try to get into a habit of going to bed and waking up close to the same time every day also consider only using the bed for sleeping so your brain knows that its time to sleep when you are in bed if you are not sleeping while you are in bed consider getting up and reading a book or doing something to make you tired before going back to bed hopefully youll be able to establish a patternsometimes sadness and other emotions make sleeping very difficult as well try keeping track of your moods to see what is leading up to the changesif youre still struggling consider talking with a therapist about the specifics andor maybe talking with your primary care physician there are natural sleep remedies that he or she may recommend for you,1,1,908,F,0.9136406779289246
38,1490,we kissed and he grabbed my boobs and we exchanged some texts and a few calls it went on for about  months just when we were all together and our spouses were out of the room once i met him for lunch to tell him that we needed to stop we ended up kissing after lunch and then i sent him a few more texts that day telling him i was serious and that was the end of it his wife my good friend saw us kiss once and told my husband i told him a couple of things then and we got over it a year later she told him a couple of other things same story its been about  years since they are now divorced and my husband and i have been happy a few weeks ago the wife called me and said that her now ex told her more stuff we did i decided to just tell my husband everything we are trying to work things out but he is having a really hard time believing that he knows all of it how can i help him believe me,relationships,the issue at hand here is that youre betrayal broke his trust in order to repair your relationship you will both need to confront the infidelity and both of you will need to honor yourselves by communicating your feelings and ensuring that those feelings are heard and validated it would be really helpful to do this work with a gottman or emotionally focused couples therapist gottmans the science of trust and what makes love last would both be helpful reference books to guide you along,1,1,489,F,0.990860641002655
41,1667,"i empathize so much even with characters on tv or in video games that i actually feel physical pain this has made life difficult to say the least
   i believe i have an actually case of something called hyper empathy disorder but since its such a new disorder i cant find any information about it could this be what is going on with me",diagnosis,sometimes its helps to have a name for a problem  it can make you feel less alone as in oh theres a name for this and other people have this experience too on the other hand naming the problem can also make it stick around longer as in now i have a special problem that has a special name and thats an important part of who i ambottom line whether its a disorder or not you would like life to be easier and not have to be pulled so much by other peoples energy and feelings you might want to try imagining that you have a volume dial on your empathy just like the volume dial or button on the tv that you can gently turn down to the point where you still feel whats going on but its not so loud you can also try imagining pulling your own energy back as if you were drawing your energy back home to the center of your own body and being letting go of the other people or characters that pulled your energy out so far this is a way create better boundaries and protect your own vulnerability just like on an airplane where they tell you to put on your own oxygen mask first before helping anyone else your empathy will most likely not really help others if you allow yourself to be depleted,1,1,1189,F,0.7187599539756775
43,271,im in my late s i never loved or have been loved i need deeper help than is offered in my small town but i cannot leave this town because of agoraphobia i find myself losing hope more and more my brain barely works anymore and my memory so small i forget in a moment i serve no purpose im incapable of work or anything of value and i never have been im a complete waste of time and resources and yet i keep trying why why does god insist that i continue to exist im not suicidal just tired,depression,the fact that youre reaching out says that there is something in you that wants this to be different and that drive might be something worth tapping into why do i keep trying is a question that might give you some insight into what it is in you that keeps you going a lot of therapistscounselors are now offering video therapy as long as youre in the same state as a therapist offering this service you could connect with someone helpful from the comfort of your home even being in your small town id recommend looking into this option because youre asking a lot of really deep questions and might benefit from having those conversations with someone who can help you find your own answers,1,1,689,F,0.96517413854599
44,1565,i know im ruining my life with a lot of the decisions i make i consistently tell myself i need to make some serious changes in my life but i just cant seem to even though i really want to why cant i force myself to change,behavioralchange,in general the reason people arent able to change is because the person feels a sense of fear to changewhat the roots are of this fear are usually easiest to identify by talking with someone whom you trust and feel safe to talk about your inner thoughts and emotionsif you havent got someone like this in your life which is common then shop around for a therapist because a therapist is someone who is professionally trained to listen in a way which helps someone know more about who they arebe patient with yourself too  change sometimes feels much scarier and is more complex than simple compared with whatever you would like to change,1,1,637,F,0.938010573387146
45,795,"i want a secure relationship with someone that wants to be with me and who will actually put effort into it
 i seem to gravitate toward unavailable men and those that want intimacy and no relationship i let men dictate and control me because they accuse me of being controlling i let men emotionally abuse me and i am at their beck and call
 i am not comfortable being alone or doing anything by myself i feel i need the security of someone being around just to survive i know what im doing wrong and i do it anyway just hoping things will change how do i stop this behavior and thought process",relationshipdissolution,you may be interested in reading my most recent post intimacy begins with you in it i offer  expert tips to help you get started on a path of self connection and discovery this is important stuff to do in order to work through that stuff thats holding you back from the relationships you desire you may find that its especially helpful to do this work with the alliance of a skilled individual therapist,1,1,403,F,0.6747368574142456
46,797,after my fiancé cheated on me because of a miscommunication i pulled myself away from him    now he says all he wants is be with me im pushing him away mentally now because he cheated on me again i make plans with him that i dont keep i really do love him still and i care about him should i give home one more chance,relationshipdissolution,people dont cheat bc of miscommunication   people cheat bc they feel diminished regard for their partneryou pulling away doesnt explain his behaviorif the two of you still were a couple at the time he cheated on you then there were many alternatives he cold have taken besides disrespecting youtry to understand whether you are satisfied and happy in the relationship  your actions sound as though you are not either of thesewhether or not you decide to be together again many depend too on if the trust you had in him is restored  do you feel you can trust him againif the two of discuss your relationship then if you dont trust him right now and the both of you talk about your dynamics then tell him about your feelingstrust is foundational to feeling safe and happy in a relationship,1,1,787,F,0.8538604974746704
49,2538,"my husband and i are separated and he doesnt even want to talk to me 

he says he doesnt love me anymore but i would do anything to get him back is there any hope",relationship dissolution relationshipsmarriage,there is always hope so dont give up on hopehowever you knew i would say that there is a lot work ahead of youyou need to see someone to talk things outget some space between you and your husband dont chase and please dont stalk himdo some deep searching as to why he left and what part you had to cause the splityou cant change him but you are in control of your own changewith the help of a professional counselor you can get help and direction where you need to change,1,1,471,F,0.8387698531150818
50,719,my roommate has had a drinking problem for a while she goes out gets trashed and then expects everyone to take care of her the next morning she apologizes constantly until she feels validated she also thinks everyone hates her all the time if i dont seem anything other than happy she asks me do you hate me you hate me tell me you love me and i feel like i have to pity her because she has also been suicidal before,selfesteem,it does sound like your roommate may have a drinking problem and the short answer is that you cant do anything about it only she can we cant change what other people say think or do we can only change our reactions it does sound like your roommate may be having a hard time you can suggest that she enter counseling or therapy you can reassure her that you like her if thats true but you dont have to pity her,1,1,409,F,0.9018635749816896
52,2558,we werent long distance until he joined the military  i love him and i know he loves me but its complicated he said hes not going to find someone else but im afraid how do i keep our relationship going,relationshipsmilitary issues ,youre wise to be aware of possible changes to your relationship once your bf is away from you for extended time periodsall you both can do is state your intentions and wishes keep in contact as much as possible and wait to see how your relationship unfoldsto a large degree each of you is relying on faith that if the relationship is meant to last for a while then it will   the military may add stressthis doesnt necessarily mean the stress will dissolve the relationshipsometimes all anyone is able to do is try,1,1,513,F,0.9208841919898988
53,1941,my doctor thinks that seeing a psychiatrist will help with my depression and anxiety  now my anxiety is worse what do i do  writing on here has taken every bit of strength i have left,anxietydepression,did you take the medication the way the psychiatrist prescribed it  did you follow up with herhim to report how it was going  different medications work differently with different people   its not always the first one that helps  and some of the medications take some time to have an effect  give the doctor the chance to help you i suggest you find a certified cbt therapist to help you examine your thinking  wwwacademyofctorg has listings of the finest cbt clinicians  in the meantime do some anxiety fasting by taking a few minutes to do something nice for yourself right now  i hope you feel better soon  mark wwwmarkmorrislcswcom and wwwlivingyesorg,1,1,655,F,0.863945484161377
54,454,its especially bad at night time i am scared of sleeping alone,anxiety,being able to know you feel anxiety and write about it is the first step to addressing and handling itgenerally anxiety is deep fear of not being able to handle what comes up in life  somehow the person was insufficiently nurtured and so felt  insecure when very youngusually the person had to fend on at least a psychological and emotional level for themselves before reaching an age when doing so would have been reasonabletheir inner feeling of overwhelmed from when very young hasnt faced the reality that the grown person is now capable even if this takes some practice try asking yourself what you are afraid of and theorize how you would handle these situations as a grown personalso sometimes anxiety comes from feeling lonely  this loneliness is reminiscent of the loneliness that the grown person now felt when being left to take care of situations as a child which were too difficult and complex for any child to address,1,1,931,F,0.6791462898254395
56,1462,i have been dating my boyfriend for a month and we want a baby we dont work or drive and we havent talked to our parents what should we do,relationships,hi athens when a teenager wants to have a baby its usually for a specific and not healthy reason do you maybe hope that a baby will cement your relationship it doesnt work that way do you yearn for a person who will love you deeply babies dont give to us we give endlessly to them i urge you to talk to someone you trust about why you want to speed up your life by being a parent before you are fully grown emotionally a relationship that is one month old is not stable enough to support a change like this youre only starting to get to know each other i wish you well and hope you talk to someone,1,1,597,F,0.9684930443763732
59,807,i was in a relationship for almost five years we were friends for a few years before we got into a relationship he was a caring friendly and charming guy up until three and a half years in he started controlling me who i hung out with where i was at all times and he had a huge hissy fit if i tried to ask him the same questions all that time he just liked me as a friend and was cheating on me with my socalled friends at the end he was a nasty and narcissistic person now its hard to be social,relationshipdissolution,it sounds like you had a very confusing and painful experience in this relationship and now you feel hesitant to let yourself get close to people it is understandable that when we are hurt in relationships we may have trouble trusting and allowing ourselves to be vulnerable with otherstherapy is a great place to explore the roots of present difficulties in relationships to unpack what happened in prior relationships and to find new ways to show up in relationships so that we can have the relaxed intimacy that we want often relationship difficulties represent patterns of relating that we learn early in life which we may feel compelled to act on outside of our awareness and therapy provides an opportunity to become more aware of these patterns so that we can change them enabling us to feel secure and to seek out satisfying companionship,1,1,846,F,0.9013819694519044
61,301,"my fiancée suffers from severe anxiety and depression she has had it most of her life her anxiety in public places is the worst it gets to points where she cant breathe or move sometimes she wont even go to the restroom so she will hold in her pee until her stomach hurts or she pees herself she curls up in corners at the mall and has panic attacks she wont eat or drink in public if she isnt having a panic attack or crying shes clinging to me and avoiding everything and everyone her depression flares up out of nowhere and causes her to become very suicidal and selfharming she get really sick from anxiety and scared to the point that i cant even get her to eat drink leave the bed or go outside she always tells me how she grew up around so much fighting and fear that it makes her scared of loud sounds yelling conflict and even talking to strangers in public she will refuse to go to a store unless i am with her to talk to the cashier for her she is so scared that i cant even get her to drive she doesnt want to get her license because shes scared of trying to drive
   some people have recommended medication but i believe its just going to cover up her illness and not solve it i dont want my fiancée pumped with drugs i believe a psychiatric service dog would be the best bet for her when we first met my poodle it would calm her down a lot she took the dog out every time we went out and she seemed much calmer and happier she slowly would eat and the dog seemed to make her feel a lot better i am worried and want to help her without medication",depression,it sounds like you have been a positive support for your fiancee there is no doubt that this situation is a great challenge for the both of you while it may feel like you are responsible for her health and happiness it is important that you understand that you on your own wont be able to resolve her mental health issues based on what you have explained it sounds like she needs to get a medical andor psychiatric evaluation whether or not she decides to take medication is her and your decision but keeping an open mind about treatment options is important i suggest that she see a therapist on her own in order to better understand and cope with her anxiety and depression especially given her suicidal thoughts you would also likely benefit from therapy individual or couples therapy in order to address how you are feeling and best learn how to support her and your relationship i wish the very best for both of you and hope that things will improve sooner than later,1,1,972,F,0.9720341563224792
65,2123,"my husband has had issues with alcohol addiction in the past hed never admit to this a while back  years ago i asked him to stop drinking so much and he agreed i caught him one night drinking behind my back i confronted him and he lied but i told him i knew he was lying because i counted the beers in the fridge and four of them were missing he admitted and apologized and promised he wouldnt do it again lately my husband has been drinking on and off but i noticed it was every single night i didnt like this for our new years resolution we decided we were going to limit our alcohol consumption he was on boardno more drinking every night
the other night i counted the beers in the fridge just to see if some were missing it took a couple of days but tonight i discovered a few were missing along with a shot of vodka he was passed out on the couch when i decided to wake him up and confront him poor timing but i couldnt wait i asked him if hed come to bed with me when he drinks he snores and i cannot sleepits a dead giveaway hes been drinking he slurred a bit and said no i asked if he had been drinking but he snapped and said no i went into our room to sleep leaving him on the couch 
im not sure if im overreacting or not i just feel like im so honest with him about everything and i expect the same honesty he is a good husband in every other regard",addictionmarriageintimacy,as exasperated as you feel and as obvious it is to you that your husband cares more about drinking than being honest with you changing this is up to himdoes he care that youre upset with him for drinking more than he can handledoes he care about you more than drinkingliving with an alcoholic which is how his behavior sounds is lonely and frustratingconcentrate on what you like about him as he is now with his drinkingyour happiness matters  his ignoring of what youre talking about doesnt mean your requests are unreasonablebe prepared to learn to live with and accept how he behaves or notavoid the expectation that you can convince him to changepeople change only when they realize their life can improve by changing  he doesnt sound like this at least now,1,1,761,F,0.8993136882781982
68,974,i snap easy and push people away i need help before i push my boyfriend away,angermanagement,death of someone with whom we had fond involvement is sad   accepting that a person is permanently gone from this earth is unsettling and can feel painfulthat you had no current contact with this person doesnt exclude the meaning or feelings from within your relationship with this person     relationships dont require a time measurement in order to affect us   your question acknowledges the process of adjusting to life without the chance to see or hear from this person againit is normal to grieve so be gentle and not critical of yourself when you feel yourself missing this person,1,1,586,F,0.8807100653648376
