,question_text,topics,answer_text,q_token_count,a_token_count,a_text_length
212,im in my mid s with a husband and children i love my family but i feel like ive lost my identity and i dont know who i am other than a mom and wife at times all i can think is what i gave up and how i feel unhappy and trapped but i know id feel like worse without them i loathe myself at times i have an amazing life so why cant i just enjoy it,depression,good for you on being sensitive to your human need for personal evolutionwife and mother are meaningful positions  and in your case in order to feel your own growth other areas of who you are would like your attentiongive yourself time to allow your interest to wander in order to find the area of growth which will satisfy youjust like you know now that youd like more than your current situation trust yourself to know you will also know when youve arrived at another road youd like to take for your own happiness,1,1,515
215,i stress over everything if i dont have enough quality time with my boyfriend i start to feel resentment towards him he has three children and they are great kids but i find we dont have much time together i break down easily and find myself depressed,depression,feeling neglected in a romantic relationship can be pretty painful so i dont think your response is anything out of the ordinary  i do wonder what you mean when you say you stress over everything and break down easily  is that according to your own assessments or someone elses  what do those moments look like  within the context of a lot of stress breaking down wouldnt take a whole lotand its ok to break down  its the bodys way of releasing pent up emotions  if thats coming out via aggression or selfharm it may be time well spent to create a coping plan for those tough times in order to feel like you have more control over your default responsesometimes voicing your needs can help people to meet them or at least compromise  if you feel he would be receptive to a discussion let him know how much time you need a day or week  you may not even fully know that but if hes flexible you can test out what feels right for your relationship,1,1,943
216,im currently up paranoid about well everything i cant get to sleep and i have a feeling of being watched constantly i have extreme depression and anxiety id really like to not be this paranoid and go to bed ive tried night lights ambiance and warm baths,depression,what kinds of things help you to feel safe  i think its great youve already tried a few things to help yourself sleep even if they dont work  those methods of coping could be targeting something other than paranoiawhich is maybe why you arent finding those things are helpful  if you are really struggling sometimes meds can help to calm the brain a bit  if you choose this route make sure you give your prescribing doctor all the information about your symptoms so your meds can be as accurate as possible for what youre dealing withif you have access counseling could be beneficial as well  there are more and more counselors becoming available via telehealth because of covid so you could even find someone to help you right in the space you feel most paranoid about given that space is private  either way talking some of those fears through could at the very least bring some insight if not some relief,1,1,907
218,i have an alcoholic son who is draining me financially i want to get him help but he doesnt want help its making me anxious and depressed,depression,establish limits on how much money youll give to him tell these limits and as you pointed out expect him to not care or respect your limitstry an alanon meeting   these meetings are for family members in similar situations to yourspeople who are addicted are not always willing to know themselves understand their own emotional pain which contributed to their addiction and then decide to live differentlyadditionally these steps take a long time and theres no good reason for you to put your life in jeopardy in order for your son to take advantage of youbeing a family member of an addict makes seeing the dynamics between you and him difficultif some type of group meeting where you can learn from other people who are living in a similar circumstance isnt possible see if you can find an equivalent of this onlineit helps a lot to know how others handles themselves in similar predicaments,1,1,893
219,im currently struggling with diagnosed depression anxiety and misophonia also i am  sure i have borderline personality disorder and avoidant personality disorder i read the dsmiv taken college psychology etc i know it in my heart i have them is selfdiagnosing okay with the right research,depression,one of the ways a diagnosis is helpful has more to do with health providers having a common language with which to discuss their patients arriving at a diagnosis requires gathering quite a bit of data on an individual which includes observation i would not recommend selfdiagnosing as it could be challenging for an individual to be objective no matter how much research they have done further i do not believe in pathologizing individuals nor would i recommend anyone pathologize themselves,1,1,491
221,i am pretty sure i have depression and anxiety i also have voices in my head i have problems sleeping too ive already been diagnosed with attentiondeficit disorder and obsessivecompulsive disorder i have selfharmed in the last and used to be suicidal how do i tell them this and ask for therapy,depression,what stops you now from telling your parents the way you are feelingdo you imagine asking them for therapy would be a surprise for themif theyre paying attention to you at all then i imagine theyd feel relief to know youre aware of having some feelings within yourself of a problemif you believe theyd have a negative reaction to you asking for help this may very well be part of why you are having problems in the first placewhat reaction did your parents have when you were diagnosed with the other conditionsid separate their willingness to help you from your sense of needing helpif they do not want to help with finding a therapist for you then start by looking for services available for people in your age group whose parents also do not wish to be involved in their childs emotional and psychological health,1,1,815
222,"i think adult life is making him depressed and we often sleep in on weekends untill  or  pm we just eat smoke weed watch movies and hell go on his phone all day he doesnt seem motivated to do much and hes often angry
    i have no clue how to help him take his mind off the negative or to distract him into a different light how do i help him",depression,how do you help yourself to believe you require more than what he offers to youwhat do you get from this relationship which feels satisfyingto answer this question may in the longterm be the best way to help your bf,1,1,215
223,i cant seem to feel any emotion except anxiety not even for myself,depression,thank you for posting  im interested to hear some more information such as if you live by yourself or family if you go to schoolemployedunemployed and what kind of things do you like to do with friends or by yourself  often times when we are experiencing a strong emotion that we interpret as negative we put most of our focus on that negative emotion and struggle to see that we do not always feel that specific emotion  there are typically points in the day even if it is for only in  minute intervals when we do not feel that negative emotion  when we overgeneralize we use words like always or never and when we use those words and it may not be totally true we feel the negative emotion based on an inaccuracy which is not fair to you  ask yourself some of these questions am i being realistic when im overgeneralizing things have i ever noticed a short period of time that i wasnt feeling anxious  what do i notice when i am feeling anxious what am i thinking about  when was the last time i felt empathy  what was different when i was able to feel empathy  hopefully this helps get you started,1,1,1100
225,i have been falling into a deep depression where i can no function during the day and night the only time i am at peace is when im asleep if i am with friends family at work and mainly alone i cannot think straight i no longer feel like myself,depression,have you tried to allow yourself some breathing space to emotionally recuperate from the breakupsometimes people expect themselves to bounce back faster than is feasible  then the suffer from both the sadness and distractibility from the breakup in addition to the suffering which is selfinduced by not permitting time to feel upset about the loss of the relationshipbe gentle and kind toward yourself because loving yourself will release some of the tension you feelsince you write that you cannot function and you wrote a question on an online website maybe youre not giving yourself enough credit for your capacity to functionanyone who is not functioning wouldnt be capable to write a question about themselveswhile what you write about yourself is in broad terms my equally broad answer is you may be doing better than you think and the key problem is the discomfort and impatience that the feeling of sadness from the breakup was more in the past than currently is the case,1,1,979
227,i have been feeling more and more down for over a month i have started having trouble sleeping due to panic attacks but they are almost never triggered by something that i know of,depression,answers about our inner lives are most successfully reached from a sense of feeling grounded in oneselffirst step is to accept your nervousness and restless sleep  as often as possible sleep during daytimes in order for your body to catch up on its need for restaccept too about feeling down  it is normal to feel down once in a while  from this place of selfacceptance trust any answers which come up to your mind  often answers about complicated topics come in small pieces not all at once as a whole unitalso your description about panic attacks is also completely normal   they often arise unrelated to particular conditions at a given moment  they are a healthy symptom your body is trying to expel bad feelings and does this by having the anxiety erupt at timesso selfacceptance tolerance of being on a process of clearing out worn out emotional clutter and sleep at odd times if possible are all ways to stabilize yourself which will also feel calm and good,1,1,964
228,i have terrible anxiety and depression ive tried various therapists and pills but nothings helped,depression,is it possible you simply didnt mix well with the particular therapists with whom youve worked   if this is possible interview a therapist before  starting therapy   then you will be choosing a therapist who feels compatible with your way of seeing yourself and your lifealso therapy isnt for everyoneread about the different healing modalities and see if one of these speaks to your interest in feeling betterwhat matters most is finding among all the legitimate healing methods what you believe will be effective,1,1,514
229,after he got home from the hospital he was angry then for a time wonderful now he is depressed and hopeless again,depression,this is actually more common then we often realize and actually understandable as he has gone through a trauma an unresolved existential crisis  he was taken care of by others and now is again left alone with his own internal and rather horrific inner strugglein my work with cct or contextual conceptual therapy see wwwsuicidetherapycom i have learned how trapped suicidal people are in their own isolation also called a mysterious isolation a form of self protection which cuts the off from their self or spirit  and unless they address this message from their soul accompany a guide on a journey to discover their own missing information that is to recognize how their own uncomforted emotional pain has resulted in a coping stategy which has effectively cut themselves off from their own beauty their self and their ability to receive love from themselves and others their attempt to kill themselves is a cry from their soul or spirit that they cannot live the life they are living any longer  they take this literally and try to end their life when in fact what their soul or spirit is saying is they need to begin to live the life they came here to live,1,1,1159
234,i am going through a divorce he is extremely angry he refuses to physically assist me with our teenager daughter i have no extended family support often times i feel overwhelmed tired and joyless i feel out of control sad and depressed on a daily basis i am just going through the motions of life every day i am in my mids i have almost  years on my job how can i handle this,depression,you are in the midst of a really hard time and it sounds like you have no help at all  search out a local support group through community counseling type centers  if you cant find a group at least get in to see a therapist who can help you manage stress and upset better  your sadness depression and outofcontrol feelings dont mean there is something wrong with you  they just mean that your circumstances are too big for your current resources to handle so get some help take care of you and youll be able to get through this,1,1,526
235,"she has trouble falling and staying asleep and shes always either extremely hungry or not hungry at all she also gets angry and feels like crying really easily for no reason she says she is always kind of down
   is this depression what can i do to help her",depression,do you feel heavy with despair struggling each day to keep your head just above the darkness and dread does it take every ounce of energy to stay afloat or are you feeling overwhelmed by feelings of helplessness and hopelessness if this sounds familiar we want you to know that you are not alone and therapy for depression could helpwhile it may seem difficult to find your way back to hope and happiness therapists have  been helping clients to personally do just that for years to experience the joy of warm sunshine on their face to reconnect with estranged loved ones and to reengage with a meaningful lifejust like other chronic illnesses depression is not your fault its nothing youve caused and also like many other illnesses effective treatments exist to help ease and eliminate the struggles you faceif youve said or thought these things a lot recently im too tired to tryi dont want to leave homei dont care anymorewhy am i always cryingi dont even know who i am any more or even i wish i wasnt here then there are proven steps and therapies that can help you get remarkable relief therapy for depression can bring you hope help and a way forward visit denvermhccom to read more,1,1,1188
