,questionText,topics,re_diagnosis,clean_answer_text
10,"cheating is something unacceptable for me but because we have two daughters i decided not to break up the family
however now i am struggling to forget and forgive what happened i feel like i cannot trust him without trust i cannot stay in this relationship on the other hand i do not want my children to get hurt im not sure how to move forward",relationshipsmarriage,mood disorders,first of all my heart goes out to you infidelity is an extremely challenging obstacle to overcome there are some things that you should consider first of all did he seem truly remorseful if you felt in his heart that he was truly sorry for what he had done it will give you a piece of mind that it was a  mistake secondly was he forthcoming with this information how about with answering your questions after the truth was uncovered if you found that he was still lying or not forthcoming the sting is even more painful he should be able to answer any question you have honestly and without hesitationthirdly has he shown a positive difference after this experience at this time he should still be proving his faithfulness to the marriage you and the childrenkeep in mind that experiencing infidelity is a form of grief it is not a quick process that can easily be overcome what you are experiencing is  normal my best suggestion would be to see a marriage therapist find out what drove your husband to cheat in the first place and decide if this aspect in his life has been resolved i know its important for you to keep your family together but children can sense anger and frustration this is not a healthy environment either if you decide that you can no longer remain in the relationship a therapist will also be able to help you cope with the separation along with addressing your childrens needsplease know that you are not alone and that unfortunately many relationships have endured this very thing it may also be helpful to reach out to people who have experienced similar obstacles the web is a great resource to find groups whether online or in person to use as a support or sounding boardbest of luck to you and your family
11,i have a lot of issues going on right now first of all i have a lot of trouble sleeping at times while other nights i sleep too much and still feel quite tired im also noticing increased irritability and experiencing anxiety attacks that last for hours is there something wrong with me and if so what should i do,anxietyanger management,anxiety disorders,it sounds as if you may be experiencing a bout of anxiety andor depression sleeping difficulties irritability and anxiety attacks all are correlated with these mood disorders and its actually quite common for someone to deal encounter this during their lifetime also keep in mind that just because you are experiencing this now does not mean that you will be dealing with it the rest of your life many times it can be a single episode and if treatment is received you can help prevent any recurrent episodeshowever you may want to first talk with your primary physician to rule out any medical issues that could be causing these problems there may be a reason for the sudden onset of these symptoms that can be addressed quickly on the other hand if it is determined that you are experiencing anxiety andor depression without a medical reason there are two methods that are very helpful in your treatment talk therapy with a certified therapistheshe will be able to address the concerns youre experiencing and discovering if there is an underlying issue that may be causing it medicationthere are many medications that can assist you with the feelings that you are experiencing your doctor will be able to help you find the right one that works for you if one doesnt work keep trying there are many different options to address your specific needsalso a combination of these two options is extremely beneficialthank you for your question i sincerely hope that you feel better soon
12,"i have no sex drive due to medical issues ive shut down completely and closed everyone out ive even told my husband that i wanted a divorce since thats what i thought he wanted to hear however it devastated me when i learned hes seeing someone else
ive since told him that i wanted to work things out but hes not sure i actually mean it he thinks the only reason i want him back is because im jealous  how do i show him im serious",marriageintimacy,mood disorders,im sorry to hear about your current situation my heart goes out to you during this timefirst of all it is of vital importance that you discuss your symptoms with your doctor regardless of whether you are able to mend your relationship with your husband you need to address the physical issues you are experiencing more than likely heshe will be able to help you relieve some of these symptomssecondly you must be upfront and honest with your husband intimacy is a large part of a relationship and it is unfair to your husband that you did not disclose how you were feeling i think he would appreciate knowing that it was your medical problems causing the lack of sexual desire as opposed to the reason being himif you explain to him that you are addressing your sexual issues with your doctor in order to enhance your relationship he may be more willing to see that you are serious in wanting to mend the relationship the conversation will be hard to explain to your doctor and your husband since it is of such a personal nature but it will be extremely beneficial and please note that the reason for the feelings you were experiencing or lack thereof was not your faultbest of luck to you and your husband
13,i have a lot of issues going on right now first of all i have a lot of trouble sleeping at times while other nights i sleep too much and still feel quite tired im also noticing increased irritability and experiencing anxiety attacks that last for hours is there something wrong with me and if so what should i do,anxietyanger management,anxiety disorders,hi there i have to commend you on reaching out to get some answers on why you are feeling the way that you are feeling a lot of people secretly go about their lives every day feeling this way because they are too afraid of what the answer might befirst off what stressors do you have in your life right now financial relationship and unemployment are all common stressors for people they can often make it difficult for us to sleep at night due to the constant racing thoughts and wonders of how you will deal with it all secondly do you have a history of depression or does depression run in your family some of the symptoms listed here in this question ie trouble sleeping constant fatigue too much sleep anger  anxiety are all common symptoms of depression often times these symptoms can be overlooked and mistaken for just being tired furthermore its important to ask yourself if you are feeling worthless problems with concentration and recurrent thoughts of death if you are having these symptoms please seek help immediately lastly considering your stated symptoms i would recommend reaching out to your doctor for further consult its always better to be safe and the earlier you catch the symptoms the faster you will get to feeling better  do some helpful tips for the your doctor would be to monitor your sleep habits ie how much or little are you sleeping make a list of your triggers for your anger outbursts as well as your triggers for your anxiety attacks i hope this was helpful and the best of luck to you
14,the last of my emotions belong to my pets today my dad said he might get rid of them tomorrow if that does happen i might dig hole in the ground with a paper that says here lays my emotions rip i practically have no emotions left and i came to the realization about this not being normal by comparing my reaction to certain situations to my familys whats wrong with me,family conflict,mood disorders,it sounds to me like you have had a lot going on and now you are afraid you are going to lose the last things you care about your pets  i do not know what all is going on in your family and i cannot answer for your dads actions or his reasoning behind thisi would recommend that you focus on developing healthy coping skills  we cannot change what others do but we can change how what they do affects us  if you have all of your emotions and all of yourself tied up into one thing like your pets then when that thing is taken away it causes a lot of emotional distress  it is really good to have a wide variety of interests such as friends hobbies games etc  develop other things that you care about and are passionate aboutanother reason for developing healthy coping skills to deal with whatever might be going on in your life is if you dont have healthy ones you may develop some very unhealthy ones  you have to cope somehow right  developing unhealthy ways of coping with life is only going to make life more difficult for youi dont know if this is what it is like for you at your house but there are two kinds of household environments that can cause dysfunction in children one is when you grow up in a very rigid stern household where all decisions are made for you and you feel like you have no control over anything the other is a household where things were chaotic and you never knew what was going to happen next and had no stability people need to have some stability in their lives and need to feel in control over some things in order to feel safe  both of these environments can lead you to develop some unhealthy ways of coping with life  please talk to a trusted adult about your feelings before it gets any worse
15,"me and my girlfriend just broke up she said she loves me but is not in love anymore this came out of nowhere we seemed so happy together
it all started when she went to missouri to visit her family the first week she was there she was fine then once she went to this one sisters house everything changed thats when she told me she loved me but was not in love with me anymore i thought maybe it was just because she missed her family and she just wanted to be home because she told me that she could not leave them again
then she told me to come to her in missouri so thats what i did i quit my job i dropped everything said goodbye to my family in florida and drove  straight hours to be with her
once i got there everything was fine again  she apologized for everything and said she didnt mean any of it then we were good for about a week then she went back to saying she didnt love me anymore and had no feelings for me
the only thing that really gets me and makes me not want to accept this is that now she is pregnant this wasnt an accident we were trying to get pregnant so all this is hard to accept i love her so much i have never been bad to her ive treated her the best i can i wanted her to be my wife i was going to propose to her when she got back now im losing my family and my mind i dont know what to do",relationships,anxiety disorders,i am sorry to hear of these troubles  i see a few issues here  i wonder why you were both trying to get pregnant when the relationship seemed troubled  some people think that they can fix a broken relationship by getting pregnant and all this does is bring up more problemsyou say you never treated her badly and i believe you  people in a relationship can still be unhappy even when there is no abuse or mistreatment going on  in fact giving too much of yourself to the relationship and not having a self outside of this relationship can be unhealthy  it takes two whole healthy happy people who are that way when they are single to come together to make a whole healthy happy couple in a relationship  expecting your partner to meet all your needs or to provide your happiness is not going to workthere are two books that i recommend you buy and read  one is codependent no more  the other is can my relationship be savedsometimes when you cling and try even harder to hold onto someone it makes you both miserable  you cannot change her and cannot change her mind  sometimes the best thing is to let go  if it is meant to be you will end up back together again  it seems like this is something that she needs to decide since she is the one that keeps doing the leaving  i suggest backing off and letting her go  maybe she needs time to clear her head and make up her mind  if it is meant to be she will come back if not use this time to work on being a healthy happy you on your own
16,now i have anger and trust issues how can i treat this and fix myself,domestic violenceanger managementfamily conflict,anxiety disorders,i will assume that for whatever reason you either do not want to or are not able to seek counseling for this  however i highly urge you to do so because longterm childhood abuse does have negative consequences for your life as an adult as it seems you are already aware there are confidential and free crisis hotlines that you can call that deal with sexual abuse  somemost also offer free counseling services in local areas  that would be a good place to start looking especially if cost of counseling is an issuethe important thing to know is that what happened was not your fault and that you deserve to live a happy life free of the past  having anger and trust issues after something like this is a perfectly normal reaction to what happened to you  angry  yes at your brother for what he did at your parents for not protecting you  having trouble trusting  of course  the very people who were supposed to love and protect you hurt you instead two books that might help you are codependent no more and boundaries where you end and i begin
17,"ive never been able to talk with my parents my parents are in their sixties while i am a teenager i love both of them but not their personalities i feel that they do not take me seriously whenever i talk about a serious event in my life if my dad doesnt believe me then my mom goes along with my dad and acts like she doesnt believe me either im a pansexual but i cant trust my own parents
ive fought depression and won however stress and anxiety are killing me i feel that my friends dont listen to me i know they have their own problems which i do my best to help with but they dont always try to help me with mine when i really need them i feel as if my childhood has been taken from me i feel as if i have no one whom i can trust",anxietyfamily conflictdepressionstresssocial relationships,anxiety disorders,hi there being  years old can be a very difficult time in your teenage life i remember when i was  and how i often felt my parents werent listening to me its even more difficult when you feel that you do not have a friend that you can confide in having depression in the past and being able to get through it shows me that you can get through anything depression alone is a very difficult problem to work through in addition to the communication problem with your parents it appears that you are also struggling with stress and anxiety we all have stress and anxiety in our lives if we didnt none of us would be living anxiety  stress keep us on our toes often i have to remind myself of this as well however it is how we manage stress and anxiety so it will not overcome our lives are you familiar with relaxation techniques such as deep breathing exercises meditation or yoga relaxation techniques can help you tremendously in reducing your stress and anxiety deep breathing exercises are helpful when you are on the go such as school shopping out with friends or whatever extracurricular activities you engage in  most people do not take full advantage of their lung capacity i know that sounds silly but its true you would be surprised how much air you lungs can hold imagine being in the doctors office and taking deep breaths this is what you want to do when you are feeling overwhelmed andor stressed take a moment to take in at least  deep breaths and let them out slowly you will be surprised how well you feel afterwards meditation and yoga are also healthy forms to working through stress and anxiety you will need a quiet place for your meditation you want to be in the moment and take in the peace and serenity all it takes is a quiet place closing your eyes and thinking of your happy place some people use meditation music as well if you have access to this type of music and or the internet for more ways to practice meditation please go for it yoga on the other hand will take a little more work and practice i would not suggest you learning this on your own if you have never attempted yoga before find an experienced yoga instructor to teach you the ropes andor ask your school counselor about the possibility of getting someone to come to the school to teach the students lastly in regards to your parents it is very important to be able to have a relationship where you feel comfortable communicating i would recommend writing a letter to them if you are unable to express how you feel in person a letter is more intimate and requires a little more effort on their end if they are open on working on this relationship maybe suggest family counseling to fully work on this issue i hope this was helpful for you and i wish you the best
18,i have been with this guy on and off for  years at first we used to do things together and our sex life was ok then things started to change wed break up and reconnect and he cheated on me numerous times  weve also had two beautiful baby girls during this time now we argue and he says i am not affectionate at all or i dont know how to please a man when i work parttime take care of a  year old and a  month old and cook sometimes he cooks but he also spends a lot of time on the internet in addition i have  boys and he has  son i feel somewhere i have lost something its not that i dont care i truly love this guy but im just tired of being the one who is always being judged please i am in need of a christian counselor to help us because i really need to speak to someone,relationships,anxiety disorders,i dont think youve lost something i think youve found something  your breaking point and its about time your boyfriend seems to be a very selfish and immature man who reconnects with you when its convenient for him obviously he has his own issues but i want to address yours i agree you need to talk to someone the fact that youve put up with his repeated cheating and then letting him blame you for it by saying youre not affectionate enough etc tells me you probably have low selfesteem and have likely told yourself over the years that you dont deserve any better you do you may truly love this guy but based on his behaviors he does not love you not in the way you deserve  and although you may want to believe he can change he has proved over and over again that hes not willing to so you need to do what is best for you and your children what would you tell your daughters if someone was treating them this way would you want your sons to treat women this way thats what youre teaching your children when they see thislike i said i agree that you should talk to someone you can ask your boyfriend to go too but my guess is he wont even if he does you should still see someone individually to work on you i understand its not easy to just kick him out especially since you have children together but a counselor can help you talk through all the details while helping you raise your selfesteem and selfworth
19,my son claims that hes been having extremely violent thoughts and dreams not violent like hes hurting someone but violent thoughts like horrible things happening to his loved ones he explained one of his dreams the other day and it was so violent it was sickening it was far beyond anything in a horror movie he says he cant help these thoughts they just pop up please help,anger managementsleep improvement,anxiety disorders,let me start my stating this is important to take seriously  taking to his pcp getting a referral to a pediatric specialist and getting him to a relational psychotherapist would be my first tasks i wont label this occurrences as normal yet it is important to note these things do occur my first observation is to say that it is a tremendous advantage that your son is communicating what he is experiencing id encourage him to continue to do so no matter the extent of his thoughts  his trust of you being able the handle his experience is of utmost importance his containment and sense of security is also dependent on your reaction to what he shares seek professional help communicating your support including a plan of action and reassuring him you will figure this out together will help you as you begin
20,whenever i leave my girlfriend i get panic attacks im taking medications to control them but im thinking of moving in with her since i get so anxious,anxietyrelationships,anxiety disorders,im sorry to hear that you are currently experiencing panic attacks i hope that the medication you have been prescribed has provided you with some relief unfortunately i dont feel that moving in with your girlfriend would alleviate your anxiety although you may feel very anxious about leaving her your body is reacting to this stressful event in your life in an unhealthy manner you may be able to render this particular situation but its likely that you may experience another panic attack when an additional stressful event arises therefore it is essential that you address the reason for why you are experiencing panic attacks in the first place followed by practicing coping mechanisms in the case that one would arise in the futuretalk therapy has shown to be effective with those affected by anxiety along with breathing exercises and yoga a trained therapist will be able to assist you in finding the right stress reducing method so that you can reduce the chance of another attack occurringi wish you the best of luck it sounds like you are very happy in your relationship and i hope you are able to reduce your anxiety so that you are able to enjoy one another
21,i need to get on base to see my doctor my id card was in my wallet which was stolen im unable to reach my husband at this time he is only one who can take me on base in order to get a new id so i can continue to see doctor is there anything i can do,military issues ,anxiety disorders,do you have any other form of identification the first place to stop would be the visitors center or whichever department issues passes they are located outside of the gate so you do not need a military id to enter if you have another form of identification its possible that they can give you a pass in order to go and obtain a new military id if you do not you could always ask someone else to sponsor you on a friend coworker etc that have military access depending on the threat level they may not need your id as long as you are with someone that has access keep in mind that currently  all military bases are on bravo which unfortunately means you will need your own idfinally if all else fails call your doctor and explain your situation im sure they would be more than willing to discuss your optionsalso its important to make sure that you report your wallet being stolen if you havent already security forces on base can help you with this and to ensure your id doesnt get into the wrong hands good luck
22,"ive known my boyfriend for several years we were friends for a long time in  we started a relationship and he even asked me to move in with him since i lived out of state i planned to move in with him in  after i finished school and he found a job however during this time we had a few arguments and broke up with each other for a short period of time we decided later to make it work shortly after i found out that i was pregnant i wanted to tell him during his next visit however he never came to see me and instead asked me for money after i gave him money he quit answering my phone calls and texts 

soon after i experienced a miscarriage i texted him about what had happened and he didnt seem to care i was extremely hurt by this i still decided to move back as i had originally planned he helped me with the move and replaced the money i had lent him during this time i asked if he wanted to be in this relationship because i needed to know although he says he did i hardly ever see him he never got a job which was in the original plan  

after that we both started seeing other people for a short amount of time but once again got back together once we got back together i cut all ties with the former relationship i had been in i thought he had too but i found out that he did not attempt to do as i did and was still talking with another woman in fact he had even sent inappropriate pictures to her when i confronted him about this he wasnt apologetic he said that he only did it to get even with me and was actually mad at me for looking through his phone he even closed his car window on my finger and tried to throw me out of his car i dont know what to do",relationshipsdomestic violence,anxiety disorders,there are plenty of red flags that you have been presented withseveral breakups not holding up his end of the bargain regarding worklack of empathy for your miscarriagelying about his involvement with another womanphysical violence which is of most concern this seems to be a very unhealthy relationship in my experience relationships such as these rarely become positive ones violence is never okay and regardless of his reasoning you looking through his phone it is indefensible you have to look at these red flags and ask yourself is this really someone i want to marry is he an asset to my life i think youll realize he is notbest of luck to you and please know that you deserve someone who treats you with kindness dignity and respect
