,questionTitle,questionText,topic,answerText
10,do i have too many issues for counseling,"i have so many issues to address i have a history of sexual abuse im a breast cancer survivor and i am a lifetime insomniac    i have a long history of depression and im beginning to have anxiety i have low self esteem but ive been happily married for almost  years
   ive never had counseling about any of this do i have too many issues to address in counseling",depression,absolutely not  in fact most people have many issues  a lot lot of the issues you are describing commonly go hand in hand  in therapy speak we call it comorbid conditionsi would venture that most of the feelings you are struggling with stem from your early trauma  you would benifit tremendously from counseling  a good therapist will develope a treatment plan that addresses all of your needs with help you could definitely live a happy life without all of your anxiety and depression getting in the way
11,do i have too many issues for counseling,"i have so many issues to address i have a history of sexual abuse im a breast cancer survivor and i am a lifetime insomniac    i have a long history of depression and im beginning to have anxiety i have low self esteem but ive been happily married for almost  years
   ive never had counseling about any of this do i have too many issues to address in counseling",depression,this is a great question i personally dont believe that any client could ever have too many issues for counseling in fact that type of thinking may be stopping you from seeking counseling so it may be hindering you from getting the help you need in fact all of what you described points to the importance of you seeking help in order to cope with the many challenges in your life if you seek counseling it will be important for you to understand that you may need to remain in counseling for a sustained period of time in order to work through each of these issues all of these issues wont be able to be solved right away or in a brief period of time counseling will take commitment and hard work but it is possible for you to recover and heal from all of the issues you describedmany clients come into counseling with numerous issues rather than just one particular thing most of the time the issues relate to and exacerbate each other we call these comorbid conditions which means that two or more mental health problems exist at one time a lot of the times when you start to work on one issue the other issues get better as a resulti encourage you to find a professional therapist that can help you learn how to cope with all of the mental health difficulties that you described you deserve the help just as much as anyone else
12,do i have too many issues for counseling,"i have so many issues to address i have a history of sexual abuse im a breast cancer survivor and i am a lifetime insomniac    i have a long history of depression and im beginning to have anxiety i have low self esteem but ive been happily married for almost  years
   ive never had counseling about any of this do i have too many issues to address in counseling",depression,i dont think there is a thing as too many issues it just going to take time to get through all of the issues
13,do i have too many issues for counseling,"i have so many issues to address i have a history of sexual abuse im a breast cancer survivor and i am a lifetime insomniac    i have a long history of depression and im beginning to have anxiety i have low self esteem but ive been happily married for almost  years
   ive never had counseling about any of this do i have too many issues to address in counseling",depression,no you do not have too many issues to address in counseling a lot of people present with multiple issues they want to address and that shows good insight usually in therapy you find that everything is connected together and the issues are more intertwined than previous thought
14,do i have too many issues for counseling,"i have so many issues to address i have a history of sexual abuse im a breast cancer survivor and i am a lifetime insomniac    i have a long history of depression and im beginning to have anxiety i have low self esteem but ive been happily married for almost  years
   ive never had counseling about any of this do i have too many issues to address in counseling",depression,counselors want to help you process whatever you come into therapy with they can help guide you with where to start and how to start their intake paperwork will ask you questions about your life history so they can help you walk through each area dont be afraid to share these things upfront with your therapist so they can set goals with you and help you feel comfortable as you get started it may take some time to explore the different areas but that is normal 
15,do i have too many issues for counseling,"i have so many issues to address i have a history of sexual abuse im a breast cancer survivor and i am a lifetime insomniac    i have a long history of depression and im beginning to have anxiety i have low self esteem but ive been happily married for almost  years
   ive never had counseling about any of this do i have too many issues to address in counseling",depression,"you do not have too many issues to address in
counseling each concern can be worked thru at a pace that is comfortable for
you with a patient counselor therapist  you are valid and your concerns are valid you
are worthy and deserve to get the support you desire"
16,do i have too many issues for counseling,"i have so many issues to address i have a history of sexual abuse im a breast cancer survivor and i am a lifetime insomniac    i have a long history of depression and im beginning to have anxiety i have low self esteem but ive been happily married for almost  years
   ive never had counseling about any of this do i have too many issues to address in counseling",depression,i commend you for taking such a brave step in talking about everything you have been through no one ever has too many issues to seek therapy and i would be willing to bet that many of these concerns are intertwined and once unraveled great relief is to follow best of luck on your journey toward healing most times our wounds lead us to the best parts of ourselves
17,do i have too many issues for counseling,"i have so many issues to address i have a history of sexual abuse im a breast cancer survivor and i am a lifetime insomniac    i have a long history of depression and im beginning to have anxiety i have low self esteem but ive been happily married for almost  years
   ive never had counseling about any of this do i have too many issues to address in counseling",depression,it sounds like you have been through a lot but in therapy theres no such thing as too many issues thats what it is there for  i want to normalize that a lot of people feel they are too much but this isnt true  a lot of the issues you mentioned are interrelated and may be affecting the other we are a whole person and our physical health affects our mental health and vice versa  sometimes when you work on one issue in therapy it can help alleviate some of the other issues  it is easy to feel overwhelmed with all you have going on but a therapist can also help prioritize some of that and find goals to focus on
18,do i have too many issues for counseling,"i have so many issues to address i have a history of sexual abuse im a breast cancer survivor and i am a lifetime insomniac    i have a long history of depression and im beginning to have anxiety i have low self esteem but ive been happily married for almost  years
   ive never had counseling about any of this do i have too many issues to address in counseling",depression,often people feel like they are beyond saving this is often not true finding the right therapist to work on these issues with and having them help you may benefit from seeing a trauma specialist if you located in florida we offer emdr therapy inperson or online
19,do i have too many issues for counseling,"i have so many issues to address i have a history of sexual abuse im a breast cancer survivor and i am a lifetime insomniac    i have a long history of depression and im beginning to have anxiety i have low self esteem but ive been happily married for almost  years
   ive never had counseling about any of this do i have too many issues to address in counseling",depression,you have been through so much  sounds like you are very resilient and how brave of you to consider exploring counseling for the first time based on what you shared i would encourage you to seek out a therapist who specializes in trauma which can often show up as depressive and anxiety symptoms and sleep disturbance later on in life you do not have too many issues to explore often times people come to counseling with multiple things they want to focus on a good therapist will take the time to help you sift through the topics youd like to address see how they might be connected and help you work through them best of luck in your journey to greater mental wellness
20,do i have too many issues for counseling,"i have so many issues to address i have a history of sexual abuse im a breast cancer survivor and i am a lifetime insomniac    i have a long history of depression and im beginning to have anxiety i have low self esteem but ive been happily married for almost  years
   ive never had counseling about any of this do i have too many issues to address in counseling",depression,not at all trauma can manifest itself in many ways such as depression and anxiety trauma can also cause sleep issues nightmares are what i hear about the most but it can also cause insomnia many abuse survivors can have low self esteem as welli would suggest you begin treatment with handling the symptoms that are causing you the most issues learning how to regulate your emotions and tolerate distress will give you the building blocks to begin getting to the underlying cause which is the trauma once you process the trauma from the abuse and the medical issues you should begin to feel better about yourself and feel better physically as well
21,do i have too many issues for counseling,"i have so many issues to address i have a history of sexual abuse im a breast cancer survivor and i am a lifetime insomniac    i have a long history of depression and im beginning to have anxiety i have low self esteem but ive been happily married for almost  years
   ive never had counseling about any of this do i have too many issues to address in counseling",depression,im wondering if you are thinking that youd be inconveniencing the therapist by bringing too many issues to the sessions the reality is that its actually very common for a person to come to therapy with a whole host of issues in fact its encouraged to go to therapy if there is a lot of stuff to work through you would not be inconveniencing the therapist at all and i would really like you to consider beginning therapy with a clinician that you feel comfortable with best of luck to you
22,do i have too many issues for counseling,"i have so many issues to address i have a history of sexual abuse im a breast cancer survivor and i am a lifetime insomniac    i have a long history of depression and im beginning to have anxiety i have low self esteem but ive been happily married for almost  years
   ive never had counseling about any of this do i have too many issues to address in counseling",depression,first you say i have so many issues then you say ive been happily married for almost  years  as it is past tense   most counselorstherapists have multiple education or experience in areas  it is about you  finding more about yourself  you would enjoy it cause it allows finally an investment for yourself and a guide   dont you sometimes look at your nails or hair its been a long time since you got them professional care  you been happily together with them for  years right  but how does it feel when you have someone else guide and bring new energy to your hair and nails and you feel like a million bucks and amazing when you walk out  right  something to think about  
23,do i have too many issues for counseling,"i have so many issues to address i have a history of sexual abuse im a breast cancer survivor and i am a lifetime insomniac    i have a long history of depression and im beginning to have anxiety i have low self esteem but ive been happily married for almost  years
   ive never had counseling about any of this do i have too many issues to address in counseling",depression,not possible your therapist will help you prioritize your treatment goals and often those issues are intertwined and as you address one problem another may resolve or become less problematic
24,do i have too many issues for counseling,"i have so many issues to address i have a history of sexual abuse im a breast cancer survivor and i am a lifetime insomniac    i have a long history of depression and im beginning to have anxiety i have low self esteem but ive been happily married for almost  years
   ive never had counseling about any of this do i have too many issues to address in counseling",depression,wow that sounds really overwhelming no there are never too many or too little problems for therapy i am a big advocate for picking the most pressing issue and putting our energy towards that to cope and then when feeling better we can move on to the next thing we cant be solve all issues at one time we can take baby steps but we will get there
25,do i have too many issues for counseling,"i have so many issues to address i have a history of sexual abuse im a breast cancer survivor and i am a lifetime insomniac    i have a long history of depression and im beginning to have anxiety i have low self esteem but ive been happily married for almost  years
   ive never had counseling about any of this do i have too many issues to address in counseling",depression,no you dont have too many issues to address in counseling humans are complex and just based on the little bit of information you have shared it sounds like you have likely experienced quite a bit of trauma in your life when we experience traumatic events such as sexual abuse surviving cancer it has an impact on our mood and thoughts about ourselves as a trauma specialist  emdr therapist i often have clients who have experienced a lot of difficult things in their life and may be entering therapy for the first time the process of healing and learning more adaptive beliefs and coping strategies takes time but it is never too late to start
26,do i have too many issues for counseling,"i have so many issues to address i have a history of sexual abuse im a breast cancer survivor and i am a lifetime insomniac    i have a long history of depression and im beginning to have anxiety i have low self esteem but ive been happily married for almost  years
   ive never had counseling about any of this do i have too many issues to address in counseling",depression,it can feel overwhelming sometimes when we reach a point in our lives when we say to ourselves i think i want andor need counseling  this is especially true if we feel we have so many issues to work through and cover with a therapist that we may feel like we would not know where to even begin we may feel that way because of our trauma in the past and our current problems however this should not stop you when you work with a trained therapist especially one who has experience working with your particular  issues that are impacting you the most you will find that little by little over time they can be worked through in counseling sessions with a therapist therapy is often not a linear process but more cyclical in nature and sometimes working on the most pressing things that are impacting your life helps to put others things into perspective so to answer your question no you do not have too many issues to address in counseling despite feeling overwhelmed by this just unpack one thing at a time good luck
27,do i have too many issues for counseling,"i have so many issues to address i have a history of sexual abuse im a breast cancer survivor and i am a lifetime insomniac    i have a long history of depression and im beginning to have anxiety i have low self esteem but ive been happily married for almost  years
   ive never had counseling about any of this do i have too many issues to address in counseling",depression,if you feel like youre too much you need someone who doesnt feel like you are guess what thats what therapists are for you are not too much you dont have too much to work on you are on the right platform we are all here to help find someone and schedule a session emdrbrainspotting for trauma anxiety and lowself esteem issues etc lens low energy neurofeedback system for the insomnia or you could do a sleep study to see why you cant sleep hope this helps
28,do i have too many issues for counseling,"i have so many issues to address i have a history of sexual abuse im a breast cancer survivor and i am a lifetime insomniac    i have a long history of depression and im beginning to have anxiety i have low self esteem but ive been happily married for almost  years
   ive never had counseling about any of this do i have too many issues to address in counseling",depression,first thank you for being open and vulnerable by sharing with us online second many of these issues you have mentioned are all interconnected often my clients have found that addressing past traumas helps diminish their depression which in turn can diminish the anxiety  the first step to wellness is to take a chance on ourselves and seek out a clinician we can connect with namaste
29,do i have too many issues for counseling,"i have so many issues to address i have a history of sexual abuse im a breast cancer survivor and i am a lifetime insomniac    i have a long history of depression and im beginning to have anxiety i have low self esteem but ive been happily married for almost  years
   ive never had counseling about any of this do i have too many issues to address in counseling",depression,absolutely not a lot of the issues that have been identified are strongly correlated to each other sometimes when you start therapy and address the first issue it helps decrease the severity of the other issues
30,do i have too many issues for counseling,"i have so many issues to address i have a history of sexual abuse im a breast cancer survivor and i am a lifetime insomniac    i have a long history of depression and im beginning to have anxiety i have low self esteem but ive been happily married for almost  years
   ive never had counseling about any of this do i have too many issues to address in counseling",depression,i want to assure you that there is no such thing as having too many issues for counselingwhen you decide to see a therapist make sure to find someone who has expertise in each of these problem areas you mentioned in your first therapy appointment they will take a history of everything you just shared and more to help you determine goals for treatmentyou and your therapist will agree upon how often youll meet to get started working toward those goals you and your therapist will likely prioritize what to focus on first to help you get the most benefit from therapy as quickly as possible then as you meet therapy goals you will likely move on to othersif it seems daunting or overwhelming keep in mind that as you work on your trauma history for example you may notice that anxiety depression and selfesteem issues improve and as you work on psychological issues your physical issues  like insomnia  may decreaselastly it sounds like you have a loving supportive partner which is a mental health protective factor and a possible determinant of a more successful therapy outcome its never too late to get started improving your mental wellness i hope you reach out soon and get the support you so deserve
31,do i have too many issues for counseling,"i have so many issues to address i have a history of sexual abuse im a breast cancer survivor and i am a lifetime insomniac    i have a long history of depression and im beginning to have anxiety i have low self esteem but ive been happily married for almost  years
   ive never had counseling about any of this do i have too many issues to address in counseling",depression,no you can never have to many issues for counseling thatis why we have counseling around so we can help you with your problems
32,do i have too many issues for counseling,"i have so many issues to address i have a history of sexual abuse im a breast cancer survivor and i am a lifetime insomniac    i have a long history of depression and im beginning to have anxiety i have low self esteem but ive been happily married for almost  years
   ive never had counseling about any of this do i have too many issues to address in counseling",depression,absolutely not it sounds like you have had a quite a lot of traumas in your life those traumas do not mean you have too many for therapy but rather that you could possibly benefit from therapy more having numerous issues just means you might need to be in therapy for a bit to work through them an experienced therapist can help you sift through all you have been through to find what is causing you the most distress good luck
33,do i have too many issues for counseling,"i have so many issues to address i have a history of sexual abuse im a breast cancer survivor and i am a lifetime insomniac    i have a long history of depression and im beginning to have anxiety i have low self esteem but ive been happily married for almost  years
   ive never had counseling about any of this do i have too many issues to address in counseling",depression,i am so impressed to hear that despite all that you have endured youre open to and asking about therapy that is incrediblei dont believe there is a person who has too many struggles or is too far gone for therapy often our numerous struggles are like the roots that grow from a plant bulb theyre are a lot but they all lead back to the bulb that is we can have many symptoms and experiences that are often rooted from a few deep primary issues that once addressed can resolve more than one symptomexperience like the image below illustrates
34,do i have too many issues for counseling,"i have so many issues to address i have a history of sexual abuse im a breast cancer survivor and i am a lifetime insomniac    i have a long history of depression and im beginning to have anxiety i have low self esteem but ive been happily married for almost  years
   ive never had counseling about any of this do i have too many issues to address in counseling",depression,thank you for sharing your experiences and for being vulnerable the answer to your question is no you dont have too many issues to address in counseling therapy is designed to provide you with that safe and nonjudgmental space where you can share everything and anything you wish you share and as raw as it needs to be being open and vulnerable is incredibly courageous and can bring you a lot of healing i encourage you to start counseling and to not be afraid to share at your own pace
35,do i have too many issues for counseling,"i have so many issues to address i have a history of sexual abuse im a breast cancer survivor and i am a lifetime insomniac    i have a long history of depression and im beginning to have anxiety i have low self esteem but ive been happily married for almost  years
   ive never had counseling about any of this do i have too many issues to address in counseling",depression,you can never have too many issues to address im counseling  in fact i wish more people would come in sooner than later or not at all but i always say better late than never  i think you will discover how everything youre experiencing makes sense when you connect the dots with your therapist  depression anxiety sleep disturbances and low self esteem can all be symptoms of traumasexual abuse  your counselor will do an assessment and talk with you about your goals to develop a treatment plan  always make sure your therapist feels like a good fit because research has shown that the therapeutic relationship is the most important factor regardless of the theoretical orientation or treatment modality
36,do i have too many issues for counseling,"i have so many issues to address i have a history of sexual abuse im a breast cancer survivor and i am a lifetime insomniac    i have a long history of depression and im beginning to have anxiety i have low self esteem but ive been happily married for almost  years
   ive never had counseling about any of this do i have too many issues to address in counseling",depression,starting counseling and bringing in a lot can feel overwhelming like youve brought too many full suitcases and its scary to think about opening them all  my strategy would be to help you take inventory of all the areas youd like to eventually work on and then prioritize what youd like to work on first  we would just focus on what seems manageable to work on for now what suitcase do you want to open and how much do you want to unpack   often times symptoms have similar root issues so once you start to work on one area and it gets better other symptoms can get better too  being a breast cancer survivor you already have a chest of skills and tools that have helped you get through  its likely those skills can be applied in other areas for healing
37,do i have too many issues for counseling,"i have so many issues to address i have a history of sexual abuse im a breast cancer survivor and i am a lifetime insomniac    i have a long history of depression and im beginning to have anxiety i have low self esteem but ive been happily married for almost  years
   ive never had counseling about any of this do i have too many issues to address in counseling",depression,i dont think there is such a thing as having too much or too little issues for therapy humans are very complex and our life story varies on the individual our complexities have connections and oftentimes in therapy seeking help for one struggle may have a positive impact on another it is never too late to seek help from a professional we are never too complex for help
38,do i have too many issues for counseling,"i have so many issues to address i have a history of sexual abuse im a breast cancer survivor and i am a lifetime insomniac    i have a long history of depression and im beginning to have anxiety i have low self esteem but ive been happily married for almost  years
   ive never had counseling about any of this do i have too many issues to address in counseling",depression,hii think at the start of counseling it is very common to experience our live in this way the weight we carry is such a burden overwhelming and completely out of control or at least it would be if we let it usually we have found a way to deal with these feelings and keep ourselves under tight control even if we can feel ourselves slipping further and further away throughout therapy it is likely you will work through much of this slowly but surely and realize that while the way you have coped was useful to you at one time it isnt useful to you anymore i hope this helps
39,do i have too many issues for counseling,"i have so many issues to address i have a history of sexual abuse im a breast cancer survivor and i am a lifetime insomniac    i have a long history of depression and im beginning to have anxiety i have low self esteem but ive been happily married for almost  years
   ive never had counseling about any of this do i have too many issues to address in counseling",depression,i believe you can never have too many issues for counseling  if such is the case what would be the alternative  not seek help at all  it is important to understand that counseling is a journey  counseling is not about getting fixed but instead about selfexploration selfdiscovery and empowerment  i seek to support my clients in all of those areas by helping them see their problems from a different perspective and gently challenging them for better
40,do i have too many issues for counseling,"i have so many issues to address i have a history of sexual abuse im a breast cancer survivor and i am a lifetime insomniac    i have a long history of depression and im beginning to have anxiety i have low self esteem but ive been happily married for almost  years
   ive never had counseling about any of this do i have too many issues to address in counseling",depression,this is a common worry clients have about counseling something that can be helpful to remember is that what were seeing as different issues often have a theme or are connected in some way for example the sexual abuse and cancer history you shared have similar traumatic and stressful effects on the mind and body and insomnia can be exacerbated by the longerterm effects of what youve been through similarly anxiety and depression are different ways our pain and distress presents itself but have underlying connections  sometimes theyre even connected to the same trauma response the hope is that youll have a counselor who can help you explore these different areas of wellbeing and facilitate a process of putting the puzzle pieces together while creating space to discover what you need in order to find some liberation and healing from the issues youve named
41,do i have too many issues for counseling,"i have so many issues to address i have a history of sexual abuse im a breast cancer survivor and i am a lifetime insomniac    i have a long history of depression and im beginning to have anxiety i have low self esteem but ive been happily married for almost  years
   ive never had counseling about any of this do i have too many issues to address in counseling",depression,it feels overwhelming right like if i have this many issues and i cant deal with them how can somebody else yet for a decent therapist your issues are totally doable it will take time therapy is not a magic cure but if you are patient with yourself you can move through each of the issues some of the issues like the sexual abuse and some of the trauma from being a breast cancer survivor can be dealt with a little more quickly using an eye movement therapy like emdr or accelerated resolution therapy some you are going to have to feel the pain and learn coping strategies know that you are not a lost cause and there are people that come in all the time with just as many issues if not more counseling can initially feel scary overwhelming and so completely vulnerable which is exceptionally difficult for sexual abuse survivors just know the hardest part is often taking that first step to get help and knowing that there is somebody willing and happy to support you as you get emotionally healthier
42,do i have too many issues for counseling,"i have so many issues to address i have a history of sexual abuse im a breast cancer survivor and i am a lifetime insomniac    i have a long history of depression and im beginning to have anxiety i have low self esteem but ive been happily married for almost  years
   ive never had counseling about any of this do i have too many issues to address in counseling",depression,since you have not had counseling for any of these issues i would encourage you to do so during your initial visit a therapist will gather data about your presenting problem and symptoms medical history as well as any significant events that have occurred in your life such as abuse parental separation or divorce  and so forth during the sessions a competent therapist will ask you what issue you want to address first part of your treatment plan will not only include your diagnosis but also other areas of your life that need clinical attention and that can be considered additional stressors during the sessions you will most likely explore the sources of your depression and anxiety as well as your trauma history sexual abuse is often challenging to discuss particularly if you have never talked to anyone about ithoweverif the  therapist strives to create an emotionally safe environment no matter how many issues you believe you have you will feel supported to reveal your psychological distress layer by layer
43,do i have too many issues for counseling,"i have so many issues to address i have a history of sexual abuse im a breast cancer survivor and i am a lifetime insomniac    i have a long history of depression and im beginning to have anxiety i have low self esteem but ive been happily married for almost  years
   ive never had counseling about any of this do i have too many issues to address in counseling",depression,absolutely not  whatever problems you are facing i promise you there are others out there facing the same problems and counseling can help  the right therapist is out there  what is it that bothers you the most right here and right now  that answer may change from day to day or moment to moment and thats ok too  as you go through therapy you may find that as you work on one thing others seem to be less significant  sexual abuse cancer and insomnia are in no way insignificant but each one may be easier to handle as you deal with the others  for example reprocessing sexual trauma might improve your sleep and both may even improve your relationship  congratulations on  yearsstart with small goals  remember the only way to eat an elephant is one bite at a time
